id,date,input,voters,imgur_id
149,"2016-08-18 01:37:34.647",start,"[""132429296"", ""40924834"", ""131842292"", ""87201078"", ""106600358"", ""110350518"", ""39442089"", ""103250155"", ""81665439""]",Zsnui1j
150,"2016-08-18 01:46:09.476",a,"[""84478080"", ""59649441"", ""120562514"", ""56384855""]",kSiVEeR
151,"2016-08-18 01:55:21.639",a,"[""102355930"", ""56791818"", ""31159198""]",2lBvuMg
152,"2016-08-18 02:07:52.291",down,"[""61241608"", ""92889635"", ""63055476"", ""50412365"", ""57827469""]",ho5s6Y4
153,"2016-08-18 02:18:13.490",down,"[""59411980"", ""48017419"", ""50577004"", ""56868751""]",aJX9da0
154,"2016-08-18 02:27:52.793",down,"[""56451362"", ""69099091"", ""120562514"", ""67667053"", ""112265911""]",3ql0tz0
155,"2016-08-18 02:37:51.437",down,"[""88880840"", ""48017419"", ""7503068""]",SRIllt4
156,"2016-08-18 02:48:17.533",left,"[""117569511"", ""113931079"", ""57603836"", ""67667053"", ""81028951""]",nzQFf6s
157,"2016-08-18 03:04:43.438",left,"[""57293820"", ""124224622"", ""113931079""]",lF25LeE
158,"2016-08-18 03:14:37.596",left,"[""132429296"", ""57220153"", ""58158075"", ""57603836""]",QpGKIZV
159,"2016-08-18 03:23:12.095",left,"[""57412684"", ""104582052"", ""132480590""]",qd3HblP
160,"2016-08-18 03:34:26.084",left,"[""49271465""]",GeR6MSk
161,"2016-08-18 03:44:45.354",left,"[""50538596""]",O3BjxAB
162,"2016-08-18 03:53:14.789",left,"[""97769335""]",Dq5UVsr
163,"2016-08-18 04:09:08.639",down,"[""59608499""]",KhKfaII
164,"2016-08-18 04:21:15.807",down,"[""91598362"", ""130866501"", ""121307303""]",zC3Tf49
165,"2016-08-18 04:32:32.344",down,"[""94572437""]",zs1MJ7T
166,"2016-08-18 04:41:42.464",down,[],xPHa8YX
167,"2016-08-18 04:51:56.437",down,"[""54750144"", ""91481407""]",1d4dXfd
168,"2016-08-18 05:04:15.239",left,"[""96606025"", ""52217811"", ""96927100"", ""117494629""]",zqgZx5x
169,"2016-08-18 05:21:51.780",left,"[""32349659"", ""132491780"", ""105948934"", ""26204263"", ""40365209"", ""108843367"", ""54521003"", ""30193373"", ""51810334""]",PlHkgyd
170,"2016-08-18 05:31:43.610",left,"[""86339624"", ""57351763"", ""71372022"", ""52217811"", ""121307303""]",t6edtSJ
171,"2016-08-18 05:46:06.124",left,"[""122414080"", ""96927100"", ""91884445"", ""123901462"", ""42769327""]",GZCxATc
172,"2016-08-18 05:55:33.366",up,"[""49257792"", ""42854832"", ""59327274"", ""57873333""]",mFuDSbq
173,"2016-08-18 06:08:00.320",up,[],SmujdDB
174,"2016-08-18 06:22:02.180",up,"[""58261904"", ""84675226"", ""128515402"", ""132413189""]",w2ESTnn
175,"2016-08-18 06:33:56.766",left,"[""40356576"", ""86339624"", ""99094701""]",ohP6pZW
176,"2016-08-18 06:43:02.838",left,"[""68249779""]",moOf88r
177,"2016-08-18 06:54:23.712",left,"[""58749968"", ""40356576"", ""60760818"", ""63813413"", ""69783238"", ""42550185"", ""96606025"", ""82504348""]",ta74pIk
178,"2016-08-18 07:08:23.189",up,"[""51335048"", ""45790034""]",DoNwRi0
179,"2016-08-18 07:15:38.945",up,"[""45790034"", ""122525188"", ""104946623""]",FOu6fk6
180,"2016-08-18 07:26:35.748",a,"[""40365209"", ""132245950"", ""49070782"", ""60253223""]",9X28OaF
181,"2016-08-18 07:36:52.445",a,[],wFthsk4
182,"2016-08-18 07:47:28.956",a,"[""57916879""]",Ny21mcg
183,"2016-08-18 07:55:59.137",down,"[""112572172"", ""70159901""]",XJ1OV1x
184,"2016-08-18 08:08:19.319",down,"[""86062347""]",nrOvkBs
185,"2016-08-18 08:20:39.639",down,"[""56992159""]",N4xFj0N
186,"2016-08-18 08:29:57.651",left,"[""63828812"", ""41471297"", ""56861516""]",UEDzsT6
187,"2016-08-18 08:37:44.572",left,"[""56861516""]",Q8hqjeN
188,"2016-08-18 08:47:42.498",left,"[""52217811""]",kp4FjJa
189,"2016-08-18 09:04:26.496",left,"[""38873691"", ""57412684""]",RhXDusl
190,"2016-08-18 09:12:44.550",left,"[""45737210"", ""44899988"", ""57140997"", ""123993807""]",NTijfCl
191,"2016-08-18 09:22:59.549",left,"[""50761584"", ""36918209"", ""97540390""]",w7mvJjc
192,"2016-08-18 09:32:36.382",up,"[""69996968"", ""33005761"", ""87640345""]",ScJR90y
193,"2016-08-18 09:40:02.458",down,[],M60VcoM
194,"2016-08-18 09:49:27.561",down,"[""59418177"", ""90394166"", ""87640345""]",FnGLN3x
195,"2016-08-18 10:04:22.967",right,"[""59418177"", ""87640345""]",GCkoDi5
196,"2016-08-18 10:12:33.727",down,[],7P1Yv6j
197,"2016-08-18 10:24:27.147",down,[],QmggsLg
