id,date,input,voters,imgur_id
426,"2016-02-13 09:23:58.338",left,[],
427,"2016-02-13 09:28:08.224",left,[],
428,"2016-02-13 09:32:18.043",left,"[""113740033""]",
429,"2016-02-13 09:36:27.839",down,[],
430,"2016-02-13 09:40:37.753",left,"[""71230677""]",
431,"2016-02-13 09:44:47.647",left,"[""1098181""]",
432,"2016-02-13 09:48:57.558",left,[],
433,"2016-02-13 09:53:07.444",left,[],
434,"2016-02-13 09:57:17.362",left,[],
435,"2016-02-13 10:01:27.160",a,"[""24613328""]",
436,"2016-02-13 10:08:45.039",b,[],
437,"2016-02-13 10:12:54.092",down,[],
438,"2016-02-13 10:17:03.075",left,[],
439,"2016-02-13 10:21:12.094",left,[],
440,"2016-02-13 10:25:21.141",down,[],
441,"2016-02-13 10:29:30.165",down,[],
442,"2016-02-13 10:33:39.194",down,[],
443,"2016-02-13 10:37:48.197",down,[],
444,"2016-02-13 10:41:57.233",down,[],
445,"2016-02-13 10:46:06.226",down,[],
446,"2016-02-13 10:50:15.226",down,"[""104902554""]",
447,"2016-02-13 10:54:24.236",down,[],
448,"2016-02-13 10:58:33.286",left,[],
449,"2016-02-13 11:02:42.326",down,[],
450,"2016-02-13 11:06:51.317",a,[],
451,"2016-02-13 11:11:00.336",a,[],
452,"2016-02-13 11:15:09.396",right,[],
453,"2016-02-13 11:19:18.395",right,[],
454,"2016-02-13 11:23:27.406",down,[],
455,"2016-02-13 11:27:36.409",down,[],
456,"2016-02-13 11:31:45.447",down,[],
457,"2016-02-13 11:35:54.439",left,[],
458,"2016-02-13 11:40:03.458",left,[],
459,"2016-02-13 11:44:12.501",left,[],
460,"2016-02-13 11:48:21.518",left,[],
461,"2016-02-13 11:52:30.566",down,[],
462,"2016-02-13 11:56:39.599",down,[],
463,"2016-02-13 12:00:48.620",down,[],
464,"2016-02-13 12:04:57.606",down,[],
465,"2016-02-13 12:09:06.628",down,[],
466,"2016-02-13 12:13:15.620",down,[],
467,"2016-02-13 12:17:24.656",right,[],
468,"2016-02-13 12:21:33.662",right,[],
469,"2016-02-13 12:25:42.701",right,[],
470,"2016-02-13 12:29:51.743",right,"[""58031234""]",
471,"2016-02-13 12:34:00.790",right,[],
472,"2016-02-13 12:38:09.800",right,[],
473,"2016-02-13 12:42:18.821",right,[],
474,"2016-02-13 12:46:27.788",right,[],
475,"2016-02-13 12:50:36.781",b,[],
476,"2016-02-13 12:54:45.770",a,"[""56384855""]",
477,"2016-02-13 12:58:54.791",a,[],
478,"2016-02-13 13:03:03.828",a,[],
479,"2016-02-13 13:07:12.852",a,[],
480,"2016-02-13 13:11:21.892",a,[],
481,"2016-02-13 13:15:30.853",a,[],
482,"2016-02-13 13:19:39.883",a,[],
483,"2016-02-13 13:23:48.884",a,[],
484,"2016-02-13 13:27:57.913",a,[],
485,"2016-02-13 13:32:06.962",a,[],
486,"2016-02-13 13:36:15.988",right,[],
487,"2016-02-13 13:40:25.023",b,[],
488,"2016-02-13 13:44:33.994",a,[],
489,"2016-02-13 13:48:43.012",right,[],
490,"2016-02-13 13:52:51.945",down,[],
491,"2016-02-13 13:57:00.972",a,[],
492,"2016-02-13 14:01:09.957",a,[],
493,"2016-02-13 14:05:18.983",b,[],
494,"2016-02-13 14:09:28.025",b,[],
495,"2016-02-13 14:13:36.992",up,[],
496,"2016-02-13 14:17:46.004",right,[],
497,"2016-02-13 14:21:54.996",right,[],
498,"2016-02-13 14:26:03.997",right,[],
499,"2016-02-13 14:30:13.015",right,[],
500,"2016-02-13 14:34:22.026",right,[],
501,"2016-02-13 14:38:31.024",right,[],
502,"2016-02-13 14:42:40.057",right,[],
503,"2016-02-13 14:46:49.078",right,[],
504,"2016-02-13 14:50:58.117",up,[],
505,"2016-02-13 14:55:07.138",up,[],
506,"2016-02-13 14:59:16.177",up,[],
507,"2016-02-13 15:03:25.196",up,[],
508,"2016-02-13 15:07:34.217",up,[],
509,"2016-02-13 15:11:43.236",left,[],
510,"2016-02-13 15:15:52.257",left,[],
511,"2016-02-13 15:20:01.241",left,[],
512,"2016-02-13 15:24:10.288",up,[],
513,"2016-02-13 15:28:19.330",up,"[""49516247""]",
514,"2016-02-13 15:32:28.379",up,[],
515,"2016-02-13 15:36:37.422",up,[],
516,"2016-02-13 15:40:46.464",up,[],
517,"2016-02-13 15:44:55.499",up,[],
518,"2016-02-13 15:49:04.538",up,[],
519,"2016-02-13 15:53:13.537",up,[],
520,"2016-02-13 15:57:22.560",up,[],
521,"2016-02-13 16:01:31.550",up,[],
522,"2016-02-13 16:05:40.569",up,[],
523,"2016-02-13 16:09:49.621",up,[],
524,"2016-02-13 16:13:58.723",a,[],
525,"2016-02-13 16:18:07.842",a,"[""105618797""]",
526,"2016-02-13 16:22:16.955",select,"[""31895917""]",
527,"2016-02-13 16:26:26.002",select,[],
528,"2016-02-13 16:30:35.022",right,[],
529,"2016-02-13 16:34:44.111",right,"[""49516247""]",
530,"2016-02-13 16:38:53.151",right,[],
531,"2016-02-13 16:43:02.188",a,[],
532,"2016-02-13 16:47:11.224",a,[],
533,"2016-02-13 16:51:20.256",a,[],
